"fen","material_cmp","castle_white_kingside","castle_white_queenside","castle_black_kingside","castle_black_queenside"
"r2qk1nr/pp1n2pp/2pbpp2/3p4/3P1P2/2PBPQ2/PP1N2PP/R1B2RK1 b kq - 3 9","0","0","0","1","1"
"rnbqkbnr/pp1ppppp/8/2p5/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"r1b1k2r/1pqp1p2/p3p3/2b3pp/3BPPn1/2N5/PPPQB1PP/3R1RK1 w kq - 2 13","0","0","0","1","1"
"r1q2rk1/p3bppp/R1p5/1p1pP3/1P1p1P2/3P4/1PPQ2PP/1N3RK1 w - - 1 18","0","0","0","0","0"
"5rk1/5ppp/p3b3/4qQ2/6P1/7r/P5K1/5R2 b - - 1 28","-1","0","0","0","0"
"r3k1r1/pp1bbp1p/2n4B/2ppPpP1/3P4/2P2N1P/P3B3/qN1Q1RK1 b q - 0 15","-1","0","0","0","1"
"rnbqr1k1/ppp1ppbp/3p1np1/8/2PP4/2NBPN2/PP3PPP/R1BQK2R w KQ - 2 7","0","1","1","0","0"
"r5k1/ppp2rpp/4Q3/5p2/1PP1p3/P3P3/1q2BPPP/4R1K1 b - - 2 18","-1","0","0","0","0"
"2rr4/4k1pp/p1p5/2n5/8/P1P3P1/5PKP/8 b - - 2 28","-1","0","0","0","0"
"3rr1k1/1pp2ppp/p1n5/3b4/3P4/1P3P2/P2R1K1P/3R1B2 b - - 1 23","-1","0","0","0","0"
"r1bq1rk1/3n1ppp/p3p3/3pP3/8/2NB4/PP1Q1PPP/2R1R1K1 b - - 5 16","0","0","0","0","0"
"8/pp1b1k1p/3bpn2/5p2/4p3/8/PP1BNPrP/R3K3 b Q - 1 19","-1","0","1","0","0"
"rnbq1rk1/ppp1n1bp/3pp1p1/5p2/3P2P1/2N1PN1P/PPP2PB1/R1BQK2R w KQ - 0 8","0","1","1","0","0"
"3r3r/1k6/4bb1p/2pp2pn/8/2N2N2/PPP2PPP/3RR1K1 w - - 0 21","-1","0","0","0","0"
"rn1qkb1r/pp2pppp/5n2/3p1b2/3P1B2/8/PPPNNPPP/R2QKB1R b KQkq - 4 6","0","1","1","1","1"
"rn1qkb1r/ppp1pppp/5n2/3p4/3P2b1/4PN2/PPPN1PPP/R1BQKB1R b KQkq - 4 4","0","1","1","1","1"
"rnbqk2r/ppppppbp/5np1/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 4","0","1","1","1","1"
"rn2kbnr/1p3ppp/p1p1p3/3pP3/3P4/2NQB3/PqP1NPPP/R4RK1 b kq - 1 9","-1","0","0","1","1"
"r1bqkb1r/1pp2pp1/p1npp2p/2n5/8/3P1N2/PPP1BPPP/RNBQ1RK1 w kq - 0 9","-1","0","0","1","1"
"rn2q1k1/pppr1pbp/6p1/3p4/8/2PP1NP1/PPQ1P1BP/R1B1RNK1 b - - 2 20","1","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/8/3pP3/8/PPPPNPPP/R1BQKBNR b KQkq - 1 3","0","1","1","1","1"
"8/p7/1p3p2/2p1kP2/P1Pp2p1/1P1Kb1P1/7P/8 w - - 1 37","-1","0","0","0","0"
"1rb2n2/5pk1/4p1p1/1r1pP1P1/1p1B1P2/1N1P4/3KB3/1RR5 w - - 1 35","1","0","0","0","0"
"7r/Q2kqp2/1p1b1npp/1P2p3/3p4/B1P3N1/5PPP/R4RK1 b - - 0 21","1","0","0","0","0"
"6k1/1bp2p1p/pp1p2p1/6P1/4r3/2K5/r7/8 b - - 3 33","-1","0","0","0","0"
"2r3k1/4bq2/2p1p1pn/p7/PpPP4/1B1Q1P2/1P4PP/2RR2K1 w - - 1 25","1","0","0","0","0"
"1r4k1/5pp1/R2qp2p/1p1p4/1Q1P4/5P2/6PP/1R4K1 b - - 0 34","1","0","0","0","0"
"rnbqk1nr/pppp1ppp/8/2b5/2B1P3/2p5/PP3PPP/RNBQK1NR w KQkq - 2 5","-1","1","1","1","1"
"3r4/N1p2pp1/4bk2/8/pP2P1p1/4B1P1/P2K1Pr1/R4R2 w - - 5 28","1","0","0","0","0"
"4r2r/pbq2kbp/1pp2pp1/3n4/2Q4B/PB6/3N1PPP/R3R1K1 b - - 1 21","-1","0","0","0","0"
"2kr3r/p1p2p1p/1p5p/2b1N2R/3pP3/3P1KP1/PPP5/R7 w - - 0 20","-1","0","0","0","0"
"2kr1b2/pppbq3/2n5/6p1/3p1B2/3P1Q2/PP1N1PPP/n2B1K1R w - - 0 18","-1","0","0","0","0"
"8/7p/1R4pk/8/N6P/1p4P1/p4PK1/8 w - - 0 48","1","0","0","0","0"
"rnbk1bnr/pp4pp/2p2p2/4p3/4P3/2N2N2/PPP2PPP/R1B1KB1R w KQ - 0 7","0","1","1","0","0"
"rnbqkb1r/pppp1ppp/5n2/4N3/8/8/PPPPPPPP/RNBQKB1R w KQkq - 1 3","1","1","1","1","1"
"3r2k1/1p3pp1/p1p4p/4P3/5BP1/2P4P/P1b4K/5R2 w - - 0 23","-1","0","0","0","0"
"5rk1/p5pp/1p2p3/2b1P3/2P5/6qP/P2Q1BP1/5RK1 b - - 4 28","0","0","0","0","0"
"r1b4r/pp3k1p/2p3p1/2b1qnN1/3p4/5Q2/PPP2PPP/R1B2RK1 b - - 3 15","-1","0","0","0","0"
"r1bqkb1r/ppp2ppp/5n2/3Pp3/2Bn4/2Q5/PPPP1PPP/RNB1K1NR b KQkq - 4 6","1","1","1","1","1"
"5rk1/3n1pbp/pq1p2p1/3Pp3/2N1P3/2P5/1P2Q1PP/R3K2R b KQ - 4 25","1","1","1","0","0"
"8/6p1/8/8/4kBK1/1bp5/8/8 b - - 2 49","-1","0","0","0","0"
"rn1q1rk1/p3bpp1/1p3n1p/2pp4/Q2P4/P1N1PN1P/1P3PP1/R1B1K2R w KQ - 0 12","0","1","1","0","0"
"r1bqk1nr/pp1pppbp/2n3p1/2p5/4P3/6P1/PPPPNPBP/RNBQ1RK1 b kq - 3 5","0","0","0","1","1"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"r2qkbnr/ppp2ppp/2n5/4P3/2Pp1Bb1/P4N2/1P2PPPP/RN1QKB1R b KQkq - 4 6","1","1","1","1","1"
"5k1b/ppp1n3/2n4p/8/2P3KP/3P4/PP3P2/4R3 b - - 0 29","-1","0","0","0","0"
"b7/p2kp3/1pn2qpp/3p1n2/P7/1P3N1B/2PPPP1P/R2QK2R b KQ - 1 21","1","1","1","0","0"
"2kr1b1r/ppp1pppp/2n2n2/q7/3P2b1/2N1BN2/PPPQBPPP/R3K2R b KQ - 8 8","0","1","1","0","0"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"rn2k2r/ppp2ppp/3p4/5b2/8/2N3P1/PPP1P3/R3KB1R b KQkq - 0 12","-1","1","1","1","1"
"3r1rk1/ppp1qppp/3bbn2/4n3/2P5/1PN1PN1P/P1Q1BPP1/R1B2RK1 w - - 3 13","1","0","0","0","0"
"r2qkbnr/ppp3pp/2np1p2/1b2p3/4P3/2NPBN2/PPP2PPP/R2QK2R w KQkq - 2 8","-1","1","1","1","1"
"rnb1k1nr/ppp1ppbp/4q1p1/8/8/2N2N2/PPPPBPPP/R1BQK2R w KQkq - 2 6","0","1","1","1","1"
"rnbqkbnr/ppp2ppp/4p3/2Pp4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3","0","1","1","1","1"
"r4rk1/pp1q1ppp/4p2b/2pnN3/6Q1/1P1Pp3/PBP3PP/R4RK1 b - - 3 15","-1","0","0","0","0"
"r3k2r/pp3ppp/4p3/4n3/8/qPp4P/P1P1BQP1/K2R3R b kq - 3 21","-1","0","0","1","1"
"r4r2/p1bk2pB/1p4P1/3P1bR1/1B3P2/8/PPP5/2K1R3 b - - 4 30","1","0","0","0","0"
"2kr1b2/pbpqnp1Q/1p2p3/3pP1P1/3n4/2NB4/PPP2PP1/R3K2R w KQ - 2 15","0","1","1","0","0"
"r1bq1rk1/1p2npb1/2n1p1pp/pPPpP3/8/2PB1N2/P4PPP/RNBQR1K1 b - - 0 11","1","0","0","0","0"
"r4rk1/1ppbqppp/p1np4/3n4/1P6/P3PN2/1P1BBPPP/RN3RK1 w - - 7 12","-1","0","0","0","0"
"1br1rnk1/p4pp1/1qp4p/1p1p1Q2/3P3P/4BN2/PPP2PP1/R4RK1 w - - 2 18","0","0","0","0","0"
"5rk1/2rp1pp1/p1b1n1p1/1p1pP3/1P1N4/2PN4/P4PPP/3RR1K1 w - - 5 23","0","0","0","0","0"
"rnb1k2r/pp3ppp/1q2pn2/2p5/3P4/P1B2N2/1PP1BPPP/R2QK2R w KQkq - 0 10","0","1","1","1","1"
"rnbqk2r/2p1bppp/p3pn2/1p4B1/2BP4/P1N2N2/1PP2PPP/R2QK2R w KQkq - 0 9","0","1","1","1","1"
"2rq1rk1/3bbpp1/2p1p2p/p2n4/2QPN3/P3B1PP/1P3PB1/2R1R1K1 w - - 0 21","0","0","0","0","0"
"rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4","0","1","1","1","1"
"3q1rk1/4bppp/4p1n1/3p4/3Q4/1P5P/PBP2PP1/2R2RK1 b - - 5 24","1","0","0","0","0"
"r1bqkb1r/1p3ppp/p1n1pn2/2p5/4P3/5NP1/PPPN1PBP/R1BQ1RK1 b kq - 0 8","0","0","0","1","1"
"r7/3kn2p/5p1B/2ppb3/7N/1P1K3P/r1P2P2/3R2R1 w - - 4 29","0","0","0","0","0"
"3r1rk1/p1p2ppp/3p4/1p6/1PbR4/P1B5/5PPP/R5K1 w - - 0 22","-1","0","0","0","0"
"3R1nk1/5p1p/6p1/8/1B1pPPP1/1b1P3P/5K2/1r3BR1 w - - 0 34","1","0","0","0","0"
"r4rk1/pp1n1pb1/5Bpp/4q3/3Np2Q/1P6/P1P3PP/2KR3R b - - 0 19","-1","0","0","0","0"
"rnbqk1nr/ppp1p1bp/5pp1/3p4/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq - 2 5","0","1","1","1","1"
"rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N1P/PPPP1PP1/RNBQKB1R b KQkq - 0 3","0","1","1","1","1"
"r1r5/ppk1np1p/2p1b3/3p4/4N3/5PP1/PPP3BP/2KRR3 w - - 6 21","0","0","0","0","0"
"r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3","0","1","1","1","1"
"r1bqkb1r/pppp1ppp/2n2n2/8/2B1P3/5N2/PPP2PPP/RNBQK2R w KQkq - 4 6","0","1","1","1","1"
"2r4k/pp3qp1/3Rb2p/4np2/4p3/1P6/P1P1BPPP/2K4R b - - 1 21","-1","0","0","0","0"
"r1b1k2r/pp3qbp/3ppnn1/6BR/3P2P1/2P5/PP6/RN1QKBN1 w Qkq - 5 14","0","0","1","1","1"
"rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4","0","1","1","1","1"
"3r1b1r/p1p1nkpp/1p2p3/3q4/4NP2/3BQ3/PPPP2PP/R1B2RK1 b - - 6 16","1","0","0","0","0"
"r2q1rk1/pb2bppp/1pp1pn2/8/3P4/2P2NP1/PP3PBP/R1BQR1K1 b - - 2 13","0","0","0","0","0"
"1r4k1/1r3pp1/2nqbn1p/ppp1p3/2PpP3/PP1P1PP1/2QB1KBP/1R3RN1 w - - 0 21","0","0","0","0","0"
"r1b1k1nr/1ppp2b1/2n1p1R1/p3qp2/P6N/8/1PPPPPP1/1NBQKB1R w Kkq - 1 10","1","1","0","1","1"
"r1bqkbnr/pp3ppp/8/3pn3/6P1/8/PP2PPBP/RNBQK1NR w KQkq - 0 7","0","1","1","1","1"
"rnb1k1nr/p2q3p/1ppbppp1/8/3P4/2P1BN2/PPB2PPP/RN1QK2R b KQkq - 1 9","0","1","1","1","1"
"2N2k1r/3Qbp1p/4p1p1/6q1/p3P3/8/PPP2PPP/1K1R4 b - - 5 24","1","0","0","0","0"
"r1bqkbnr/p1pp2pp/1pn1p3/5p2/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5","0","1","1","1","1"
"rnb1k1r1/ppp1n2p/3pq3/8/5BP1/3P1N1P/P1PQK3/5B1R w q - 1 20","-1","0","0","0","1"
"rnbqk2r/ppppppbp/5np1/8/5P2/1P3N2/PBPPP1PP/RN1QKB1R b KQkq - 2 4","0","1","1","1","1"
"r5k1/p4p1p/4p1p1/8/8/7q/r5R1/4R1QK w - - 0 34","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2","0","1","1","1","1"
"1r3r1k/pp5p/1b4p1/8/3qRpB1/5Q1P/PP3PP1/1R4K1 b - - 7 25","0","0","0","0","0"
"r1bqk2r/p1p1bp1p/1pn1p1p1/3pPn2/3P4/P4N1P/1PPB1PP1/RN1QKB1R w KQkq - 0 9","0","1","1","1","1"
"1r2k2r/3qnpp1/2n4p/1p1pPp2/3P1P1P/2PB1N2/2Q5/R1B1K2R w KQk - 0 20","1","1","1","1","0"
"rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3","0","1","1","1","1"
"3r1rk1/1pp1ppbp/p3q3/3p1p2/1P1P4/2PQPP2/PB4PP/R3R1K1 b - - 1 17","0","0","0","0","0"
"rnbqkb1r/pp1p1ppp/4pn2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5","0","1","1","1","1"
"r1b2rk1/ppp3pp/8/5pq1/3Bp1n1/1P2P1PP/P1PQ1PB1/3R1RK1 b - - 0 15","0","0","0","0","0"
"6k1/pRnp1p1p/6p1/p1p5/3r2P1/8/4rPP1/6K1 b - - 1 32","-1","0","0","0","0"
"4r1k1/p1p2p1p/2p3p1/6P1/5P2/3PB3/PPP1Kn1q/5R2 b - - 8 25","-1","0","0","0","0"
"r1b2r1k/p6p/3q2pP/4pp2/3pP3/1B1N1Q2/PPP2PP1/3R1RK1 b - - 1 21","1","0","0","0","0"
"r1b1k2r/ppqnbppp/4pn2/3p4/3P2N1/2N1PQ2/PP3PPP/R1B1KB1R b KQkq - 1 9","0","1","1","1","1"
"rn2k2r/ppq4p/2p1Q1p1/2b1pn1B/3p4/7P/PPPP1PP1/R1B1K2R b KQkq - 1 14","-1","1","1","1","1"
"r4rk1/ppp2ppp/8/3p4/5P2/2P1P1P1/Pn1NK1P1/RR6 b - - 3 19","-1","0","0","0","0"
"rn2kbnr/pp3p1p/2p3p1/4P3/2B3q1/8/PPP3PP/RNB1K1NR b KQkq - 1 10","-1","1","1","1","1"
"8/6k1/4R1pp/pp1rp3/7P/P1P3P1/1P1rR1K1/8 w - - 7 38","0","0","0","0","0"
"r1bqkb1r/1p2nppp/p1n1p3/2ppP3/B2P4/2P2N2/PP3PPP/RNBQK2R b KQkq - 1 7","0","1","1","1","1"
"r4rk1/2pqbpp1/p6p/2pnP3/1p1P4/2P2NBP/PP1Q1PP1/4RRK1 b - - 0 19","1","0","0","0","0"
"5rk1/p5pp/8/3P1q2/8/7P/P2Q1PP1/R5K1 b - - 0 31","1","0","0","0","0"
"r1bqk1nr/pp1pppbp/2n3p1/2p5/4PP2/2PP1N2/PP4PP/RNBQKB1R b KQkq - 0 5","0","1","1","1","1"
"8/4kp1p/2r5/1p4p1/1P1B4/6KP/P2P2P1/R6R b - - 0 27","1","0","0","0","0"
"4knn1/3b2R1/4p3/pp4P1/3PPP2/1BP5/P5P1/R3K3 b Q - 2 26","1","0","1","0","0"
"r2qk1nr/2p1bppp/p2p4/1p2p2b/4P3/1B3P2/PPP1NP1P/R1BQ1RK1 w kq - 3 11","-1","0","0","1","1"
"r4rk1/3n2p1/2b1p3/p2p2p1/2pPp1Nq/PpP1P3/1P2Q1R1/RB4K1 b - - 1 33","-1","0","0","0","0"
"5rk1/6bp/pp4p1/2pN1p2/P1n5/7P/1P4PB/R4RK1 w - - 1 29","1","0","0","0","0"
"8/pp3k2/3P1pp1/1P6/2R5/7p/4K3/r7 w - - 0 53","-1","0","0","0","0"
"r4rk1/p3n2p/1pp1bp2/4p3/4P3/3P4/P3BPPP/1Q3RK1 b - - 3 19","1","0","0","0","0"
"r1bqk2r/pppp1ppp/2n1n3/4P3/1bP5/5N2/P2B1PPP/RN1QKB1R w KQkq - 2 8","-1","1","1","1","1"
"3r1k2/R4ppp/4b3/3nP3/8/1r4BP/1P4P1/4R2K b - - 0 26","-1","0","0","0","0"
"rnbq1rk1/ppppb1pp/4pn2/5pN1/5P2/3PP3/PPPB2PP/RN1QKB1R b KQ - 2 6","0","1","1","0","0"
"4k2r/p7/1np3bp/4Pp2/2B1n3/1N4B1/PP3PPP/2KRR3 w - - 2 25","1","0","0","0","0"
"2rq1rk1/pp3p1p/3pp1p1/3Qb3/1PB5/P6P/2P2PP1/3R1RK1 w - - 0 21","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1bq1rk1/pp1nbppp/5n2/3pN3/2pP4/2P2N1P/PP3PP1/R1BQKB1R w KQ - 5 10","0","1","1","0","0"
"2kr3r/pp3pp1/2p1pn2/2Pp3p/5q2/3Q1P1P/PPP1BPP1/R4R1K b - - 0 16","0","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1b1k2r/pp2bppp/1qn1p3/2pp4/3P2n1/2N1BNPP/PPP1PPB1/1R1Q1RK1 b kq - 0 9","0","0","0","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"5rk1/pp1n2b1/3p1rpp/q1pPp3/5P1N/1P6/PBP1Q1PP/1K1R3R b - - 0 21","0","0","0","0","0"
"r4rk1/5pp1/p3p1p1/1q1p4/Q2P1BP1/7P/PP1R1P2/6K1 w - - 1 23","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"8/7p/1p6/1N1k2pP/6P1/3B4/P1P5/5K2 b - - 0 33","1","0","0","0","0"
"2k4r/ppp1npp1/2p3p1/2b1r1B1/7P/8/PPPN1P2/2KR2R1 w - - 0 17","-1","0","0","0","0"
"r2qk1nr/1pp1ppbp/p1np2p1/6B1/3P2b1/2PBPN2/PP3PPP/RN1QK2R w KQkq - 3 7","0","1","1","1","1"
"5r1k/6p1/p2p4/1p2p2p/4P2q/1P3PrP/1P2QRP1/5NK1 b - - 17 42","-1","0","0","0","0"
"rnbqk3/pp4p1/2p4r/3p1p2/4P1nP/1QP1P3/PP3PBP/RNB2RK1 b q - 0 13","1","0","0","0","1"
"r2qkb1r/pp1b1ppp/4p3/8/3QBB2/8/PPP2PPP/R3K2R b KQkq - 0 11","0","1","1","1","1"
"r1bqkb1r/ppp1pppp/2n2n2/8/2BP4/4PN2/PP3PPP/RNBQK2R b KQkq - 0 5","0","1","1","1","1"
"r1b1k2r/pppp1ppp/5nq1/2b5/2BpP3/3P1Q2/PPP2PPP/RNB2RK1 w kq - 7 9","0","0","0","1","1"
"8/P7/1n6/8/5k2/8/5B2/4K3 w - - 5 44","1","0","0","0","0"
"r1bqk2r/pppp1ppp/2n1p3/8/2PP4/P1b1PN2/5PPP/R1BQKB1R w KQkq - 0 8","-1","1","1","1","1"
"rnbqkbnr/pppppp1p/6p1/8/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2","0","1","1","1","1"
"r2q1rk1/ppp2ppp/2n1pnb1/8/2BP4/PQP1PN1P/5PP1/R1B2RK1 w - - 1 12","0","0","0","0","0"
"2rqr1k1/p4ppp/1p2pn2/n1pp4/P2P1N2/B1PQPP2/1R4PP/5RK1 b - - 0 16","-1","0","0","0","0"
"rnb1k2r/ppp2ppp/8/3pN1q1/4n3/3B1K2/PPPP2PP/RNBQ3R b kq - 3 8","1","0","0","1","1"
"2R5/p4pk1/3b2p1/3P3p/P7/7P/3r2N1/7K w - - 8 30","-1","0","0","0","0"
"2r2rk1/1p3p1p/p1np1pp1/8/4P3/1P2PN1P/P5P1/1R1R2K1 b - - 1 19","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"r1bq1rk1/pppp1ppp/2n2n2/4p3/1bB1P3/2N2Q2/PPPPNPPP/R1B1K2R w KQ - 8 6","0","1","1","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"8/p7/1p3p2/1K1N4/1P4P1/r4k2/8/8 b - - 3 39","-1","0","0","0","0"
"3n4/p3k1pp/4bP2/1p2p3/8/2P1NN1P/PPB5/2K5 b - - 0 28","1","0","0","0","0"
"r2qkb1r/p1ppnppp/1p2pn2/3P4/2P5/2N1P3/PP2QPPP/R1B1K2R w KQkq - 1 9","-1","1","1","1","1"
"r1bq1rk1/pp1nbppp/4pn2/3p2B1/3P4/2PB1N2/PP3PPP/RN1Q1RK1 w - - 7 10","0","0","0","0","0"
"3rr1k1/5ppp/p1pB4/1p1p4/1PbP4/P4BPP/5P2/2R1R1K1 w - - 3 25","1","0","0","0","0"
"r2q1rk1/pbpp1pbp/1pn1p1p1/4P3/3PB3/2N1PN2/PPPQ2PP/R4RK1 b - - 3 11","0","0","0","0","0"
"r3kb1r/ppp2ppp/2n1pn2/8/2B1P3/5N1P/PPP1KPP1/R1B1R3 b kq - 2 11","0","0","0","1","1"
"rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"r2qk2B/ppp2p1p/8/8/1b6/1P1P2P1/P1Pn3P/R3K1NR b KQq - 0 14","-1","1","1","0","1"
"2r2rk1/ppq2ppp/8/3BP3/4P3/1Q3b2/PP3PPP/R4RK1 w - - 0 21","1","0","0","0","0"
"5rk1/1p3ppp/1p1r4/1P6/1Q1q4/7P/6P1/5RK1 w - - 2 27","-1","0","0","0","0"
"r2q1rk1/p1ppppbp/1p3np1/8/1P6/P4QP1/NBPP1P1P/R4RK1 b - - 0 12","-1","0","0","0","0"
"r7/ppp1q1p1/2p4k/2N3pb/2Q5/3P1P2/PPP3BP/2KR4 w - - 0 21","1","0","0","0","0"
"3k2b1/1pp5/p4K2/6P1/1P1P4/8/8/8 w - - 6 50","-1","0","0","0","0"
"6k1/pp4bp/6p1/3n4/P2p3R/3b3P/1Pr2PP1/1R4K1 w - - 9 32","-1","0","0","0","0"
"8/5k1p/6p1/2Np1p2/3P1P2/2P3PP/1q2R3/5K2 b - - 1 45","0","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"r1bqkb1r/p1pp1pp1/1p3n1p/8/2BQP3/2N5/PPP2PPP/R1B2RK1 b kq - 1 8","0","0","0","1","1"
"r1bq1rk1/p3ppbp/2p1nnp1/1p1pN3/3P1B2/P2BP3/1PPN1PPP/R2QK2R w KQ - 4 11","0","1","1","0","0"
"r6r/pp1kqp1p/2p2np1/b2p1pB1/Q2P4/2P1P3/PP3PPP/RN2K2R w KQ - 0 13","0","1","1","0","0"
"4r3/ppp3qk/3p2pp/3P4/n3pP2/2P3QP/1P4P1/4RRK1 w - - 0 27","1","0","0","0","0"
"r1q2rk1/ppp1ppbp/5np1/5b2/Qn1P4/2N1PN1P/PP1BBPP1/2R1R1K1 b - - 8 13","0","0","0","0","0"
"2k3rr/pp2qp2/3p1Rp1/2p1p3/8/3P2Pp/PPPQN2K/5R2 b - - 3 23","0","0","0","0","0"
"rnbqkb1r/1p2pppp/p2p1n2/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq - 1 6","0","1","1","1","1"
"4r3/pp4kp/6p1/2p5/3P1q2/1PP5/1P3P2/3KR3 b - - 3 26","-1","0","0","0","0"
"r2qkb1r/pp1n1ppp/4pn2/2pp4/3P1B2/2N1P3/PPP1NPPP/R2QK2R b KQkq - 1 7","0","1","1","1","1"
"r1bq1b1r/pp1ppkpp/2n2n2/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQ - 2 5","-1","1","1","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1bq1rk1/ppp2ppp/2p2n2/2b1p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w - - 0 7","0","0","0","0","0"
"rnbq1rk1/pp1n2bp/4p1p1/3pP1N1/5P2/1p6/PBP1B1PP/RN1Q1RK1 w - - 0 13","-1","0","0","0","0"
"r1b2b1r/p1p1k1pp/2n5/8/1P3P2/P3P3/3NB1PP/R1B1K2R w KQ - 1 20","1","1","1","0","0"
"r5k1/p2q1pbp/2n1R1p1/1p1p2B1/1PpP1QPN/2P5/P4PP1/R5K1 b - - 0 23","1","0","0","0","0"
"1rb3k1/2p2r1p/1p4p1/p2p2P1/3Pp3/P1B1P1P1/1P6/R1R3K1 b - - 0 31","-1","0","0","0","0"
"r5k1/5r1p/2pq2p1/p2p1p2/2P5/4Q3/5PPP/3RR1K1 w - - 0 29","-1","0","0","0","0"
"r1b1r3/p1p4k/1p1p3p/3P1p2/2PN4/2P1pPP1/P3R1P1/R5K1 b - - 1 24","0","0","0","0","0"
"2r2rk1/ppp4p/3p1np1/4npq1/2P5/1P2PpPP/PB1P2Q1/1R2NRK1 w - - 0 20","-1","0","0","0","0"
"r1b1kbnr/pp2pppp/2n5/2pq4/5P2/4P3/PP1P2PP/RNBQKBNR w KQkq - 0 5","0","1","1","1","1"
"r1b2rk1/ppp1bpp1/3p3p/1P2p2P/3PP2q/1PP1BN2/5PP1/R2Q1RK1 b - - 1 16","0","0","0","0","0"
"r1bqkbnr/ppp2ppp/2n1p3/8/8/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 4","0","1","1","1","1"
"6k1/2B1R3/8/2p3p1/7p/2b3nP/R5PK/8 b - - 4 36","1","0","0","0","0"
"2rq1rk1/pp1n1ppp/4p3/2pp4/3P1BP1/8/PPPQ1P1P/2KR3R w - - 0 15","-1","0","0","0","0"
"rnbq2k1/pppp2b1/7p/4Prp1/2P5/2N1BN1P/PP3PP1/R2Q1RK1 b - - 0 12","1","0","0","0","0"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2","0","1","1","1","1"
"4r1k1/pp1R1pp1/1qp4p/4P3/8/P1Q5/1PP2PP1/5K2 w - - 0 26","0","0","0","0","0"
"rnbqkbnr/pp2pppp/8/2p5/3pP3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq - 1 4","0","1","1","1","1"
